State_Name,District_Name,year,Season,Crop,Area,Production,rainfall_total,rainfall_days,avg_temp,max_temp,min_temp,soil_ph,soil_organic_carbon,soil_nitrogen,soil_phosphorus,soil_potassium,Yield_qha
telangana ,Adilabad,1997,Kharif     ,rice,30600.0,29100.0,814.21,158.0,26.4892349726776,36.25,22.32,6.8,4.5,280,12,150,0.9509803921568627
telangana ,Adilabad,1997,Rabi       ,rice,5200.0,12400.0,814.21,158.0,26.4892349726776,36.25,22.32,6.8,4.5,280,12,150,2.3846153846153846
telangana ,Adilabad,1998,Kharif     ,rice,66400.0,152300.0,1009.35,160.0,26.486666666666668,39.14,17.08,6.8,4.5,280,12,150,2.2936746987951806
telangana ,Adilabad,1998,Rabi       ,rice,12200.0,33500.0,1009.35,160.0,26.486666666666668,39.14,17.08,6.8,4.5,280,12,150,2.7459016393442623
telangana ,Adilabad,1999,Kharif     ,rice,66388.0,162451.0,839.6,136.0,25.294207650273226,35.5,17.31,6.8,4.5,280,12,150,2.4469934325480507
telangana ,Adilabad,1999,Rabi       ,rice,10980.0,26616.0,839.6,136.0,25.294207650273226,35.5,17.31,6.8,4.5,280,12,150,2.4240437158469947
telangana ,Adilabad,2000,Kharif     ,rice,70645.0,146235.0,657.9,136.0,26.54060109289617,31.4,23.02,6.8,4.5,280,12,150,2.069997876707481
telangana ,Adilabad,2000,Rabi       ,rice,6828.0,21023.0,657.9,136.0,26.54060109289617,31.4,23.02,6.8,4.5,280,12,150,3.0789396602226127
telangana ,Adilabad,2001,Kharif     ,rice,67358.0,150343.0,716.29,138.0,25.84978142076503,35.54,19.75,6.8,4.5,280,12,150,2.231999168621396
telangana ,Adilabad,2001,Rabi       ,rice,9786.0,23398.0,716.29,138.0,25.84978142076503,35.54,19.75,6.8,4.5,280,12,150,2.3909666871040263
telangana ,Adilabad,2002,Kharif     ,rice,71657.0,110710.0,793.83,125.0,26.30158469945355,35.01,21.02,6.8,4.5,280,12,150,1.544999092900903
telangana ,Adilabad,2002,Rabi       ,rice,5137.0,11188.0,793.83,125.0,26.30158469945355,35.01,21.02,6.8,4.5,280,12,150,2.1779248588670432
telangana ,Adilabad,2003,Kharif     ,rice,74851.0,184732.0,951.05,136.0,25.84743169398907,39.09,19.84,6.8,4.5,280,12,150,2.467996419553513
telangana ,Adilabad,2003,Rabi       ,rice,6069.0,16016.0,951.05,136.0,25.84743169398907,39.09,19.84,6.8,4.5,280,12,150,2.6389850057670126
telangana ,Adilabad,2004,Kharif     ,rice,35637.0,54133.0,595.98,138.0,26.382896174863387,37.63,21.18,6.8,4.5,280,12,150,1.519011140107192
telangana ,Adilabad,2004,Rabi       ,rice,3984.0,8749.0,595.98,138.0,26.382896174863387,37.63,21.18,6.8,4.5,280,12,150,2.1960341365461846
telangana ,Adilabad,2005,Kharif     ,rice,69284.0,178198.0,1083.72,143.0,25.76153005464481,38.75,17.17,6.8,4.5,280,12,150,2.5719935338606317
telangana ,Adilabad,2005,Rabi       ,rice,9466.0,22586.0,1083.72,143.0,25.76153005464481,38.75,17.17,6.8,4.5,280,12,150,2.3860130995140505
telangana ,Adilabad,2006,Kharif     ,rice,64743.0,155318.0,1134.42,150.0,25.8944262295082,35.0,19.62,6.8,4.5,280,12,150,2.3989929413218416
telangana ,Adilabad,2006,Rabi       ,rice,9019.0,22548.0,1134.42,150.0,25.8944262295082,35.0,19.62,6.8,4.5,280,12,150,2.500055438518683
telangana ,Adilabad,2007,Kharif     ,rice,40000.0,96000.0,843.31,135.0,25.497595628415304,35.73,18.18,6.8,4.5,280,12,150,2.4
telangana ,Adilabad,2007,Rabi       ,rice,12000.0,28000.0,843.31,135.0,25.497595628415304,35.73,18.18,6.8,4.5,280,12,150,2.3333333333333335
telangana ,Adilabad,2008,Kharif     ,rice,54506.0,133049.0,872.2,131.0,25.63295081967213,35.62,18.89,6.8,4.5,280,12,150,2.44099732139581
telangana ,Adilabad,2008,Rabi       ,rice,22788.0,65333.0,872.2,131.0,25.63295081967213,35.62,18.89,6.8,4.5,280,12,150,2.8669913989819205
telangana ,Adilabad,2009,Kharif     ,rice,37878.0,75264.0,823.13,129.0,26.630819672131143,37.11,18.07,6.8,4.5,280,12,150,1.9870109298273404
telangana ,Adilabad,2009,Rabi       ,rice,10240.0,23235.0,823.13,129.0,26.630819672131143,37.11,18.07,6.8,4.5,280,12,150,2.26904296875
telangana ,Adilabad,2010,Kharif     ,rice,62903.0,175263.0,1237.21,158.0,26.386284153005462,37.55,20.07,6.8,4.5,280,12,150,2.786242309587778
telangana ,Adilabad,2010,Rabi       ,rice,27644.0,79891.0,1237.21,158.0,26.386284153005462,37.55,20.07,6.8,4.5,280,12,150,2.889994212125597
telangana ,Adilabad,2011,Kharif     ,rice,60681.0,151310.0,786.54,138.0,25.98021857923497,34.95,20.81,6.8,4.5,280,12,150,2.493531747993606
telangana ,Adilabad,2011,Rabi       ,rice,15489.0,48016.0,786.54,138.0,25.98021857923497,34.95,20.81,6.8,4.5,280,12,150,3.100006456194719
telangana ,Adilabad,2013,Kharif     ,rice,65502.0,175303.0,1258.24,154.0,25.005081967213115,33.84,17.25,6.8,4.5,280,12,150,2.6762999603065554
telangana ,Adilabad,2013,Rabi       ,rice,25191.0,73608.0,1258.24,154.0,25.005081967213115,33.84,17.25,6.8,4.5,280,12,150,2.921995950934858
telangana ,Adilabad,2014,Kharif     ,rice,36084.0,81003.0,637.9,124.0,27.13136612021858,38.88,20.0,6.8,4.5,280,12,150,2.2448453608247423
telangana ,Adilabad,2014,Rabi       ,rice,13996.0,45123.0,637.9,124.0,27.13136612021858,38.88,20.0,6.8,4.5,280,12,150,3.223992569305516
telangana ,Hyderabad,1997,Kharif     ,rice,100.0,100.0,581.76,167.0,26.022841530054645,34.29,22.27,7.2,3.8,245,15,180,1.0
telangana ,Hyderabad,1997,Rabi       ,rice,100.0,100.0,581.76,167.0,26.022841530054645,34.29,22.27,7.2,3.8,245,15,180,1.0
telangana ,Hyderabad,1998,Kharif     ,rice,100.0,200.0,903.87,158.0,25.57568306010929,37.43,16.68,7.2,3.8,245,15,180,2.0
telangana ,Hyderabad,1998,Rabi       ,rice,100.0,200.0,903.87,158.0,25.57568306010929,37.43,16.68,7.2,3.8,245,15,180,2.0
telangana ,Hyderabad,1999,Kharif     ,rice,25.0,60.0,434.69,155.0,25.352622950819672,31.83,19.45,7.2,3.8,245,15,180,2.4
telangana ,Hyderabad,1999,Rabi       ,rice,12.0,29.0,434.69,155.0,25.352622950819672,31.83,19.45,7.2,3.8,245,15,180,2.4166666666666665
telangana ,Hyderabad,2000,Kharif     ,rice,16.0,46.0,824.75,143.0,24.88551912568306,28.64,20.96,7.2,3.8,245,15,180,2.875
telangana ,Karimnagar,1997,Kharif     ,rice,103000.0,287900.0,706.35,164.0,27.32092896174863,37.01,23.76,6.8,4.5,280,12,150,2.795145631067961
telangana ,Karimnagar,1997,Rabi       ,rice,67600.0,185800.0,706.35,164.0,27.32092896174863,37.01,23.76,6.8,4.5,280,12,150,2.7485207100591715
telangana ,Karimnagar,1998,Kharif     ,rice,135000.0,413100.0,942.3,165.0,27.0144262295082,39.74,18.19,6.8,4.5,280,12,150,3.06
telangana ,Karimnagar,1998,Rabi       ,rice,123300.0,423400.0,942.3,165.0,27.0144262295082,39.74,18.19,6.8,4.5,280,12,150,3.4339010543390107
telangana ,Karimnagar,1999,Kharif     ,rice,140930.0,435474.0,588.69,144.0,26.395628415300543,34.2,19.73,6.8,4.5,280,12,150,3.090002128716384
telangana ,Karimnagar,1999,Rabi       ,rice,91605.0,288647.0,588.69,144.0,26.395628415300543,34.2,19.73,6.8,4.5,280,12,150,3.150996124665684
telangana ,Karimnagar,2000,Kharif     ,rice,162729.0,508854.0,655.04,143.0,26.81989071038252,31.37,22.85,6.8,4.5,280,12,150,3.127002562542632
telangana ,Karimnagar,2000,Rabi       ,rice,108608.0,376544.0,655.04,143.0,26.81989071038252,31.37,22.85,6.8,4.5,280,12,150,3.4670005892751914
telangana ,Karimnagar,2001,Kharif     ,rice,141154.0,429108.0,572.52,153.0,26.84989071038252,36.56,21.96,6.8,4.5,280,12,150,3.039998866486249
telangana ,Karimnagar,2001,Rabi       ,rice,103207.0,332223.0,572.52,153.0,26.84989071038252,36.56,21.96,6.8,4.5,280,12,150,3.2189967734746676
telangana ,Karimnagar,2002,Kharif     ,rice,133365.0,345015.0,718.3,138.0,27.061748633879784,34.75,22.47,6.8,4.5,280,12,150,2.586998087954111
telangana ,Karimnagar,2002,Rabi       ,rice,48545.0,152965.0,718.3,138.0,27.061748633879784,34.75,22.47,6.8,4.5,280,12,150,3.1509939231640747
telangana ,Karimnagar,2003,Kharif     ,rice,122858.0,395726.0,892.54,142.0,26.503278688524592,39.74,20.64,6.8,4.5,280,12,150,3.221003109280633
telangana ,Karimnagar,2003,Rabi       ,rice,64718.0,206321.0,892.54,142.0,26.503278688524592,39.74,20.64,6.8,4.5,280,12,150,3.1880002472264284
telangana ,Karimnagar,2004,Kharif     ,rice,65453.0,147989.0,534.1,146.0,27.018415300546447,35.18,21.48,6.8,4.5,280,12,150,2.260996440193727
telangana ,Karimnagar,2004,Rabi       ,rice,18182.0,50382.0,534.1,146.0,27.018415300546447,35.18,21.48,6.8,4.5,280,12,150,2.7709822901770984
